FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
.592,.594,.333,.593,.582,.604,.420,.006,129,113,93,112,75,107,162,2,61.4,44.2
.557,.564,.143,.558,.691,.598,.483,.018,121,108,40,106,89,106,186,5,46.5,63.9
.493,.519,.389,.532,.827,.571,.241,.198,107,99,109,101,107,101,93,52,4.3,10.4
.500,.500,,.500,,.500,.000,.000,109,95,,95,,89,,,-0.1,-0.3
.368,.391,.346,.455,.676,.473,.139,.500,80,75,97,86,87,84,53,130,-39.3,-51.8
.466,.545,.404,.580,.867,.609,.179,.562,101,104,113,110,112,108,69,146,25.5,24.1
.649,.658,.000,.649,.633,.664,.581,.013,141,126,,123,82,118,223,3,112.2,115.6
.432,.500,.312,.489,.636,.512,.250,.364,94,95,87,92,82,91,96,95,-3.5,-5.2
.291,.320,.250,.343,.655,.395,.337,.419,63,61,70,65,85,70,130,109,-32.0,-33.5
.263,.444,.207,.342,.500,.352,.105,.763,57,85,58,65,65,62,40,199,-14.2,-16.9
.474,.541,.282,.511,.667,.534,.236,.257,103,103,79,97,86,95,91,67,-12.1,-22.6
.286,.500,.200,.357,,.357,.000,.714,62,95,56,68,,63,,186,-2.4,-2.9
.553,.631,.304,.589,.633,.613,.508,.237,120,120,85,111,82,109,195,62,149.6,146.2
1.000,1.000,,1.000,.500,.902,.667,.000,217,191,,189,65,160,256,,2.8,2.6
.500,.632,.000,.500,.412,.496,.354,.208,109,121,,95,53,88,136,54,-2.8,-7.7
.430,.448,.385,.485,.845,.525,.206,.289,93,86,108,92,109,93,79,75,-68.1,-68.2
.505,.583,.390,.584,.706,.600,.180,.403,110,111,109,110,91,106,69,105,62.4,43.0
.409,.439,.391,.532,.711,.551,.173,.627,89,84,109,101,92,98,66,163,1.3,-6.4
.438,.556,.372,.557,.838,.593,.228,.639,95,106,104,105,108,105,88,166,18.3,20.3
.388,.488,.352,.518,.778,.543,.164,.739,84,93,98,98,101,96,63,193,-3.5,-7.8
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
.491,.595,.400,.597,.872,.643,.296,.535,107,114,112,113,113,114,114,139,21.8,28.1
.399,.439,.348,.475,.889,.554,.393,.436,87,84,97,90,115,98,151,114,-49.6,-11.6
.546,.553,.231,.548,.753,.568,.157,.023,119,106,64,104,97,101,60,6,22.3,4.2
.348,.373,.284,.387,.660,.419,.217,.275,76,71,79,73,85,74,83,71,-69.1,-77.9
.467,.510,.182,.479,.806,.512,.186,.132,102,97,51,91,104,91,71,34,-16.6,-19.0
.403,.442,.375,.511,.566,.517,.111,.575,88,84,105,97,73,92,43,150,-24.6,-68.7
.462,.531,.346,.526,.674,.542,.161,.374,100,101,97,100,87,96,62,97,-1.5,-13.9
.411,.434,.377,.488,.909,.512,.106,.411,89,83,105,92,118,91,41,107,-16.9,-22.7
.460,.501,.381,.525,.801,.574,.337,.338,100,96,106,99,104,102,129,88,-6.7,17.7
.402,.432,.320,.445,.614,.479,.349,.271,87,82,89,84,79,85,134,71,-121.9,-144.3
.450,.498,.375,.523,.767,.549,.180,.390,98,95,105,99,99,97,69,102,-8.6,-25.6
.427,.504,.330,.500,.720,.539,.321,.440,93,96,92,95,93,96,123,115,-13.5,-13.6
.422,.500,.330,.498,.708,.535,.316,.456,92,95,92,94,92,95,121,119,-12.9,-14.0
.464,.526,.333,.518,.800,.571,.357,.321,101,100,93,98,104,101,137,84,-0.6,.4
.346,.438,.286,.432,.900,.463,.123,.605,75,84,80,82,116,82,47,158,-15.7,-17.5
.480,.582,.351,.558,.747,.581,.197,.441,104,111,98,105,97,103,76,115,22.0,13.4
.374,.400,.344,.453,.769,.499,.275,.457,81,76,96,86,99,88,106,119,-80.8,-79.2
.347,.368,.328,.433,.806,.475,.221,.524,75,70,91,82,104,84,85,137,-62.8,-64.0
.418,.437,.384,.486,.733,.533,.361,.351,91,83,107,92,95,94,139,91,-18.0,-15.2
.394,.432,.347,.472,.694,.497,.196,.445,86,82,97,89,90,88,75,116,-36.3,-46.8
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
.455,.515,.353,.520,.843,.579,.351,.369,99,98,99,98,109,102,135,96,-22.1,42.2
.425,.465,.388,.525,.818,.546,.124,.517,92,89,108,99,106,97,48,135,-3.8,-20.9
.389,.421,.360,.485,.868,.511,.126,.535,84,80,101,92,112,91,49,139,-26.4,-33.8
.472,.517,.426,.577,.750,.591,.120,.494,103,99,119,109,97,105,46,129,22.6,12.9
.392,.412,.376,.498,.828,.532,.185,.567,85,79,105,94,107,94,71,148,-19.1,-22.5
.522,.564,.333,.552,.613,.577,.463,.179,114,108,93,104,79,102,178,47,3.1,1.9
.533,.588,.222,.550,.586,.570,.483,.150,116,112,62,104,76,101,186,39,2.5,.8
.429,.250,.667,.571,1.000,.634,.286,.429,93,48,186,108,129,112,110,112,.6,1.1
.456,.546,.231,.489,.542,.500,.210,.285,99,104,64,92,70,88,81,74,-18.1,-32.4
.446,.531,.349,.527,.714,.545,.152,.467,97,101,97,100,92,97,58,122,-0.3,-3.9
.476,.500,.444,.571,.667,.582,.143,.429,103,95,124,108,86,103,55,112,1.8,.8
.437,.540,.324,.514,.727,.534,.155,.479,95,103,90,97,94,95,60,125,-2.1,-4.7
.434,.471,.424,.598,.853,.628,.200,.774,94,90,118,113,110,111,77,201,84.8,84.4
.431,.496,.388,.548,.660,.560,.138,.604,94,95,108,104,85,99,53,157,13.3,-3.5
.510,.514,.000,.510,.653,.566,.706,.007,111,98,,97,85,100,271,2,-5.2,.3
.467,.574,.191,.493,.727,.523,.220,.280,101,110,53,93,94,93,85,73,-10.6,-13.8
.543,.543,,.543,.603,.571,.543,.000,118,104,,103,78,101,209,,8.0,4.0
.481,.540,.419,.583,.821,.602,.129,.490,105,103,117,110,106,107,49,128,71.4,51.7
.475,.533,.344,.528,.790,.571,.304,.306,103,102,96,100,102,101,117,80,-1.5,10.7
.440,.532,.372,.547,.741,.566,.151,.576,96,102,104,103,96,100,58,150,27.8,1.2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
.447,.479,.414,.548,.902,.603,.296,.489,97,91,116,104,117,107,114,127,36.1,81.3
.500,.526,.444,.571,.800,.617,.357,.321,109,100,124,108,104,109,137,84,2.4,3.4
.364,.571,.000,.364,.500,.392,.364,.364,79,109,,69,65,69,140,95,-3.6,-4.4
.667,1.000,.000,.667,.000,.515,.667,.333,145,191,,126,,91,256,87,.8,-0.4
.250,.400,.000,.250,1.000,.338,.250,.375,54,76,,47,129,60,96,98,-4.5,-4.0
,,,,,,,,,,,,,,,,.0,.0
.250,.300,.200,.300,,.300,.000,.500,54,57,56,57,,53,,130,-9.2,-10.6
.504,.571,.352,.558,.812,.608,.363,.303,110,109,98,105,105,108,140,79,13.5,23.5
.489,.549,.354,.544,.919,.618,.397,.310,106,105,99,103,119,109,152,81,38.0,161.0
.472,.569,.322,.535,.784,.587,.388,.395,102,109,90,101,102,104,149,103,3.8,15.7
.300,.375,.000,.300,,.300,.000,.200,65,72,,57,,53,,52,-4.6,-5.3
