Rk,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
,,,,,,,,,,,
1,4.5,5.3,33,27,62,20,87,5,336,17,32
2,4.9,6.1,94,53,99,32,174,7,928,42,60
3,-3.8,-5.3,13,20,70,29,83,1,309,23,20
4,-12.9,-15.9,1,0,0,0,0,0,0,0,0
5,-4.2,-3.4,38,8,33,3,19,15,210,3,20
6,-5.7,-6.3,19,8,34,1,19,10,127,4,9
7,0.9,3.2,20,17,94,26,113,7,268,31,44
8,-10.5,-4.3,2,2,2,1,2,1,51,1,2
9,-5.4,-5.0,7,3,13,4,14,3,46,1,4
10,0.8,1.5,2,1,9,0,3,3,19,2,2
11,-3.0,-3.7,35,17,59,6,40,12,369,7,17
12,21.9,19.0,1,0,1,0,0,0,6,0,0
13,15.8,12.7,66,58,50,65,306,10,902,94,69
14,18.3,12.6,0,1,1,0,1,0,5,0,0
15,-3.1,-13.6,5,2,6,4,8,1,38,2,3
16,0.4,2.9,35,17,66,30,80,7,212,16,46
17,6.8,0.3,29,20,75,13,42,15,276,12,60
18,-4.2,-1.3,24,8,45,1,9,32,237,0,10
19,-0.2,1.7,28,10,33,5,36,15,223,8,11
19,-2.1,0.0,16,3,19,3,12,8,122,2,4
19,1.9,3.6,12,7,14,2,24,7,101,6,7
20,2.1,5.2,51,20,22,10,64,12,640,11,31
21,3.4,4.5,21,21,72,15,44,2,165,15,37
22,-7.8,-0.9,12,11,21,6,29,4,137,9,20
23,-14.0,-13.2,3,6,21,2,18,4,24,7,16
24,-1.0,0.8,129,29,67,13,26,7,1045,5,34
25,1.6,3.5,9,9,77,14,21,2,108,4,25
26,0.7,-4.8,28,7,8,2,11,17,264,2,7
27,-2.5,-1.4,36,26,46,15,122,20,407,22,40
28,-9.2,-6.1,65,34,58,15,121,11,322,26,60
29,6.0,8.2,45,19,58,12,57,8,485,16,45
30,-11.2,-11.4,7,5,28,2,39,0,77,9,19
